Video Title,Video ID,Likes,Views
Visualizing Neural Network Internals,ChfEO8l-fas,1162,36567
QLoRA is all you need (Fast and lightweight model fine-tuning),J_3hDqSvpmg,2334,62152
Neural Networks from Scratch - P.1 Intro and Neuron Code,Wo5dMEP_BbI,33169,1340188
ChatGPT Writes a Chatbot AI,QumfkMQr47M,3897,187903
Introduction to Python 3 Programming Tutorial,eXBD2bB9-RA,8008,612786
Building an LLM fine-tuning Dataset,pCX_3p40Efc,712,25208
Neural Networks from Scratch - P.5 Hidden Layer Activation Functions,gmjzbpSVY1A,8140,279532
"Neural Networks from Scratch - P.4 Batches, Layers, and Objects",TEWy9vZcxW4,8984,302763
"Loading in your own data - Deep Learning basics with Python, TensorFlow and Keras p.2",j-3vuBynnOE,12022,865628
INFINITE Inference Power for AI,9MigSbQ7AQk,773,23989
"Deep Learning with Python, TensorFlow, and Keras tutorial",wQ8BIBpya2k,21520,1268013
Neural Networks from Scratch - P.6 Softmax Activation,omz_NdFgWyU,4299,155902
Reinforcement Learning with Stable Baselines 3 - Introduction (P.1),XbWhJdQgi7E,1667,79534
Python 3 Programming Tutorial - Classes,Beu5_JZEWsI,1360,163199
Open Source AI Inference API w/ Together,_GQfj3jhXVM,812,28954
Getting Back on Grid,mm9IHqgCbZc,427,16912
Introduction - Data Analysis and Data Science with Python and Pandas,nLw1RNvfElg,4550,276417
"Creating a Chatbot with Deep Learning, Python, and TensorFlow p.1",dvOnYLDg8_Y,8240,660379
Building our Neural Network - Deep Learning and Neural Networks with Python and Pytorch p.3,ixathu7U-LQ,3004,140491
Who is the Sentdex Audience?,j87KKBZbmqk,2184,58811
Sentdex Channel in 2020,OwTN-18PIwE,1546,38561
Generative Python Transformer p.1 - Acquiring Raw Data,3P3TcKaegbA,1338,62370
The COOLEST Deep Learning Machine - The Comino Grando RM V2 Short,qpfAAo9D0F4,1185,70339
"Programming languages, Sentdex history, and more - Q&amp;A #6",GQ0JegrLr64,690,23961
Chat Interface for your Local Llama LLMs,m1feTAvlXxw,550,19039
Neural Networks from Scratch - P.3 The Dot Product,tMrbN67U9d4,10403,320824
How to send an email with Python,gzv183G9Vew,1338,155664
The Future of User Interfaces with A.I.,F0VvtOj6QjQ,2197,69112
Regression Intro - Practical Machine Learning Tutorial with Python p.2,JcI5Vnw0b2c,11180,1417021
OpenAI GPT-4 Function Calling: Unlimited Potential,0lOSvOoF2to,4721,223900
A. I. Learns to Play Starcraft 2 (Reinforcement Learning),q59wap1ELQ4,10402,411668
Quantum Computer Programming w/ Qiskit,aPCZcv-5qfA,6159,212782
Neural Networks from Scratch - P.2 Coding a Layer,lGLto9Xd7bU,11623,394748
Python 3 Programming Tutorial - For loop,xtXexPSfcZg,4960,510458
Sentdex Channel Update,kY2tKfsfyhU,5431,97353
Machine Learning with Scikit-learn - Data Analysis with Python and Pandas p.6,BpPJxtOk8uw,1415,62964
Sockets Tutorial with Python 3 part 1 - sending and receiving data,Lbfe3-v7yE0,12884,785983
Python 3 Programming Tutorial - Lists and Tuples,RVXIBZvg-W8,1477,159733
Deep Q Learning w/ DQN - Reinforcement Learning p.5,t3fbETsIBCY,2006,132746
Sikuli Tutorial 1: Visually programming in python!,rrVHoYBknGo,106,49478
Starcraft 2 AI with Python - Introduction (p.1),HlLK5BA0wT0,1559,58521
PyTorch in 100 Seconds,ORMx45xqWkA,31306,758463
Buttons - PyQt with Python GUI  Programming tutorial 3,flKD9LTuvq8,908,135473
Python 3 Programming Tutorial - Threading module,NwH0HvMI4EA,1743,197828
Sockets Tutorial with Python 3 part 3 - sending and receiving Python Objects w/ Pickle,WM1z8soch0Q,2667,164187
"Don&#39;t Worry, Be Hacky - Q&amp;A #3",zPm6ElN8mRQ,1294,37221
ChatGPT API in Python,c-g6epk3fFE,3492,174546
Sentdex Live - TensorFlow.js Introduction,NjSlj95lliM,487,22646
Playing a Neural Network&#39;s version of GTA V: GAN Theft Auto,udPY5rQVoW0,9856,746819
"Convolutional Neural Networks - Deep Learning basics with Python, TensorFlow and Keras p.3",WvoLTXIjBYU,8375,559992
